ano,regiao,uf,nome_municipio,localizacao,depend_administrativa,percent_fundamental_nivel1,percent_fundamental_nivel2,percent_fundamental_nivel3,percent_fundamental_nivel4,percent_fundamental_nivel5,percent_fundamental_nivel6,percent_medio_nivel1,percent_medio_nivel2,percent_medio_nivel3,percent_medio_nivel4,percent_medio_nivel5,percent_medio_nivel6
2021,Norte,RO,Colorado do Oeste,Urbana,Publica,52.3,0.0,19.3,21.6,2.3,4.5,0.0,2.7,16.7,61.1,5.6,13.9
2021,Norte,RO,Colorado do Oeste,Rural,Publica,43.4,50.0,3.3,3.3,0.0,0.0,0.0,36.4,61.8,1.8,0.0,0.0
2021,Norte,RO,Corumbiara,Urbana,Estadual,0.0,0.0,36.3,36.4,27.3,0.0,0.0,0.0,0.0,66.7,33.3,0.0
2021,Norte,RO,Corumbiara,Rural,Estadual,26.6,0.0,20.0,46.7,6.7,0.0,0.0,0.0,0.0,79.3,13.8,6.9
2021,Norte,RO,Corumbiara,Urbana,Municipal,54.5,36.4,0.0,9.1,0.0,0.0,,,,,,
2021,Norte,RO,Corumbiara,Rural,Municipal,76.9,23.1,0.0,0.0,0.0,0.0,,,,,,
2021,Norte,RO,Corumbiara,Urbana,Publica,27.3,18.2,18.2,22.7,13.6,0.0,0.0,0.0,0.0,66.7,33.3,0.0
2021,Norte,RO,Corumbiara,Rural,Publica,50.0,10.7,10.7,25.0,3.6,0.0,0.0,0.0,0.0,79.3,13.8,6.9
2021,Norte,RO,Costa Marques,Urbana,Estadual,0.0,4.0,40.0,28.0,20.0,8.0,0.0,0.0,15.1,57.6,15.2,12.1
2021,Norte,RO,Costa Marques,Rural,Estadual,0.0,0.0,0.0,44.4,55.6,0.0,0.0,0.0,0.0,73.6,21.1,5.3
2021,Norte,RO,Costa Marques,Urbana,Municipal,80.5,8.3,5.6,5.6,0.0,0.0,,,,,,
2021,Norte,RO,Costa Marques,Rural,Municipal,48.6,23.1,23.1,0.0,2.6,2.6,,,,,,
2021,Norte,RO,Costa Marques,Urbana,Publica,47.4,6.6,19.7,14.8,8.2,3.3,0.0,0.0,15.1,57.6,15.2,12.1
2021,Norte,RO,Costa Marques,Rural,Publica,39.5,18.8,18.8,8.3,12.5,2.1,0.0,0.0,0.0,73.6,21.1,5.3
2021,Norte,RO,Espigão D'Oeste,Urbana,Estadual,17.8,9.6,21.9,45.2,4.1,1.4,0.0,7.0,23.6,56.9,8.3,4.2
2021,Norte,RO,Espigão D'Oeste,Rural,Estadual,67.9,25.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,78.6,14.3,7.1
2021,Norte,RO,Espigão D'Oeste,Urbana,Municipal,28.6,6.1,55.1,4.1,6.1,0.0,,,,,,
2021,Norte,RO,Espigão D'Oeste,Rural,Municipal,24.1,13.8,20.7,34.5,0.0,6.9,,,,,,
2021,Norte,RO,Espigão D'Oeste,Urbana,Privada,7.3,21.4,7.1,57.1,7.1,0.0,0.0,25.0,25.0,41.7,8.3,0.0
