ano,regiao,uf,cod_municipio,nome_municipio,localizacao,depend_administrativa,percent_infantil,percent_fundamental,percent_medio,percent_educ_profissional,percent_eja,percent_educ_especial
2021,Norte,RO,1100106,Guajará-Mirim,Rural,Publica,,24.5,100.0,,,
2021,Norte,RO,1100114,Jaru,Urbana,Federal,,,100.0,100.0,,
2021,Norte,RO,1100114,Jaru,Urbana,Estadual,,100.0,100.0,,100.0,
2021,Norte,RO,1100114,Jaru,Urbana,Municipal,96.2,98.3,,,,
2021,Norte,RO,1100114,Jaru,Urbana,Privada,100.0,89.2,80.0,100.0,,100.0
2021,Norte,RO,1100114,Jaru,Urbana,Publica,96.2,99.3,100.0,100.0,100.0,
2021,Norte,RO,1100114,Jaru,Rural,Estadual,,0.0,,,,
2021,Norte,RO,1100114,Jaru,Rural,Municipal,100.0,100.0,,,,
2021,Norte,RO,1100114,Jaru,Rural,Privada,,,83.3,,,
2021,Norte,RO,1100114,Jaru,Rural,Publica,100.0,97.8,,,,
2021,Norte,RO,1100122,Ji-Paraná,Urbana,Federal,,,100.0,,,
2021,Norte,RO,1100122,Ji-Paraná,Urbana,Estadual,,97.7,98.6,,100.0,
2021,Norte,RO,1100122,Ji-Paraná,Urbana,Municipal,98.2,96.0,,,94.7,
2021,Norte,RO,1100122,Ji-Paraná,Urbana,Privada,82.0,85.6,96.1,95.7,100.0,100.0
2021,Norte,RO,1100122,Ji-Paraná,Urbana,Publica,98.2,97.3,98.9,,98.0,
2021,Norte,RO,1100122,Ji-Paraná,Rural,Estadual,,69.4,93.3,,,
2021,Norte,RO,1100122,Ji-Paraná,Rural,Municipal,100.0,100.0,,,,
2021,Norte,RO,1100122,Ji-Paraná,Rural,Privada,,,100.0,,,
2021,Norte,RO,1100122,Ji-Paraná,Rural,Publica,100.0,88.5,93.3,,,
2021,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Estadual,,91.9,99.2,,100.0,
2021,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Municipal,97.8,95.9,,,,
2021,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Privada,100.0,100.0,100.0,,,100.0
2021,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Publica,97.8,93.9,99.2,,100.0,
2021,Norte,RO,1100130,Machadinho D'Oeste,Rural,Estadual,,84.6,95.0,,,
2021,Norte,RO,1100130,Machadinho D'Oeste,Rural,Municipal,71.4,93.1,,,,
2021,Norte,RO,1100130,Machadinho D'Oeste,Rural,Publica,71.4,91.5,95.0,,,
2021,Norte,RO,1100148,Nova Brasilândia D'Oeste,Urbana,Estadual,,100.0,100.0,,100.0,
2021,Norte,RO,1100148,Nova Brasilândia D'Oeste,Urbana,Municipal,96.3,100.0,,,,
2021,Norte,RO,1100148,Nova Brasilândia D'Oeste,Urbana,Publica,96.3,100.0,100.0,,100.0,
2021,Norte,RO,1100148,Nova Brasilândia D'Oeste,Rural,Municipal,100.0,97.9,,,,
2021,Norte,RO,1100148,Nova Brasilândia D'Oeste,Rural,Publica,100.0,97.9,,,,
2021,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Estadual,,100.0,100.0,,100.0,
2021,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Municipal,95.6,98.8,,,,
2021,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Privada,50.0,56.5,72.7,,,83.3
2021,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Publica,95.6,99.4,100.0,,100.0,
2021,Norte,RO,1100155,Ouro Preto do Oeste,Rural,Municipal,75.0,100.0,,,,
2021,Norte,RO,1100155,Ouro Preto do Oeste,Rural,Publica,75.0,100.0,,,,
2021,Norte,RO,1100189,Pimenta Bueno,Urbana,Estadual,,100.0,99.0,,97.7,
2021,Norte,RO,1100189,Pimenta Bueno,Urbana,Municipal,90.9,91.8,,,,
2021,Norte,RO,1100189,Pimenta Bueno,Urbana,Privada,,100.0,100.0,85.7,100.0,
2021,Norte,RO,1100189,Pimenta Bueno,Urbana,Publica,90.9,96.0,99.0,,97.7,
2021,Norte,RO,1100189,Pimenta Bueno,Rural,Estadual,,,100.0,100.0,,
2021,Norte,RO,1100189,Pimenta Bueno,Rural,Municipal,85.7,97.0,,,,
2021,Norte,RO,1100189,Pimenta Bueno,Rural,Publica,85.7,97.0,100.0,100.0,,
2021,Norte,RO,1100205,Porto Velho,Urbana,Federal,,,100.0,100.0,,
2021,Norte,RO,1100205,Porto Velho,Urbana,Estadual,,97.9,99.5,100.0,98.1,92.9
2021,Norte,RO,1100205,Porto Velho,Urbana,Municipal,96.6,96.1,,,98.4,
2021,Norte,RO,1100205,Porto Velho,Urbana,Privada,81.9,92.1,98.0,89.3,80.0,80.0
2021,Norte,RO,1100205,Porto Velho,Urbana,Publica,96.6,97.1,99.5,100.0,98.1,92.9
2021,Norte,RO,1100205,Porto Velho,Rural,Estadual,,76.2,90.5,,93.2,
2021,Norte,RO,1100205,Porto Velho,Rural,Municipal,96.1,94.5,,,100.0,
2021,Norte,RO,1100205,Porto Velho,Rural,Privada,100.0,93.8,,,,
2021,Norte,RO,1100205,Porto Velho,Rural,Publica,96.1,89.3,90.5,,94.2,
2021,Norte,RO,1100254,Presidente Médici,Urbana,Estadual,,96.6,98.8,,100.0,
2021,Norte,RO,1100254,Presidente Médici,Urbana,Municipal,97.4,97.6,,,,
2021,Norte,RO,1100254,Presidente Médici,Urbana,Privada,,,,,100.0,
2021,Norte,RO,1100254,Presidente Médici,Urbana,Publica,97.4,96.9,98.8,,100.0,
2021,Norte,RO,1100254,Presidente Médici,Rural,Estadual,,100.0,100.0,,,
2021,Norte,RO,1100254,Presidente Médici,Rural,Municipal,100.0,92.0,,,,
2021,Norte,RO,1100254,Presidente Médici,Rural,Publica,100.0,94.3,100.0,,,
2021,Norte,RO,1100262,Rio Crespo,Urbana,Estadual,,100.0,100.0,,,
2021,Norte,RO,1100262,Rio Crespo,Urbana,Municipal,100.0,100.0,,,100.0,
2021,Norte,RO,1100262,Rio Crespo,Urbana,Publica,100.0,100.0,100.0,,100.0,
2021,Norte,RO,1100288,Rolim de Moura,Urbana,Estadual,,100.0,100.0,,100.0,
2021,Norte,RO,1100288,Rolim de Moura,Urbana,Municipal,100.0,100.0,,,100.0,
2021,Norte,RO,1100288,Rolim de Moura,Urbana,Privada,100.0,100.0,100.0,100.0,,
2021,Norte,RO,1100288,Rolim de Moura,Urbana,Publica,100.0,100.0,100.0,,100.0,
2021,Norte,RO,1100288,Rolim de Moura,Rural,Municipal,100.0,100.0,,,,
2021,Norte,RO,1100288,Rolim de Moura,Rural,Publica,100.0,100.0,,,,
2021,Norte,RO,1100296,Santa Luzia D'Oeste,Urbana,Estadual,,100.0,100.0,,100.0,
2021,Norte,RO,1100296,Santa Luzia D'Oeste,Urbana,Municipal,91.7,97.1,,,,
2021,Norte,RO,1100296,Santa Luzia D'Oeste,Urbana,Publica,91.7,98.2,100.0,,100.0,
2021,Norte,RO,1100304,Vilhena,Urbana,Federal,,,95.7,,,
2021,Norte,RO,1100304,Vilhena,Urbana,Estadual,,100.0,100.0,,100.0,
2021,Norte,RO,1100304,Vilhena,Urbana,Municipal,96.0,99.6,,,100.0,
2021,Norte,RO,1100304,Vilhena,Urbana,Privada,85.0,97.7,100.0,100.0,100.0,
2021,Norte,RO,1100304,Vilhena,Urbana,Publica,96.0,99.8,99.0,,100.0,
2021,Norte,RO,1100304,Vilhena,Rural,Estadual,,76.5,81.8,,,
2021,Norte,RO,1100304,Vilhena,Rural,Municipal,100.0,96.9,,,,
2021,Norte,RO,1100304,Vilhena,Rural,Publica,100.0,89.8,81.8,,,
2021,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Federal,,,,100.0,,
2021,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Estadual,,100.0,100.0,,100.0,
2021,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Municipal,86.4,100.0,,,,
2021,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Privada,100.0,100.0,,,,
2021,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Publica,86.4,100.0,100.0,100.0,100.0,
2021,Norte,RO,1100320,São Miguel do Guaporé,Rural,Municipal,90.0,100.0,,,,
2021,Norte,RO,1100320,São Miguel do Guaporé,Rural,Publica,90.0,100.0,,,,
2021,Norte,RO,1100338,Nova Mamoré,Urbana,Estadual,,100.0,100.0,,100.0,
