ANO,REGIAO,SIGLA_UF,COD_MUNICIPIO,NOME_MUNICIPIO,LOCALIZACAO,DEPEND_ADMINISTRATIVA,BAIXA_REGULARIDADE,BAIXA-MEDIA,MEDIA-ALTA,ALTA
2020,Norte,RO,1100098,Espigão D'Oeste,Rural,Municipal,0.0,33.3,33.3,33.4
2020,Norte,RO,1100098,Espigão D'Oeste,Urbana,Privada,50.0,0.0,0.0,50.0
2020,Norte,RO,1100098,Espigão D'Oeste,Urbana,Pública,0.0,38.5,46.2,15.3
2020,Norte,RO,1100098,Espigão D'Oeste,Rural,Pública,22.2,22.2,33.3,22.3
2020,Norte,RO,1100106,Guajará-Mirim,Urbana,Federal,0.0,100.0,0.0,0.0
2020,Norte,RO,1100106,Guajará-Mirim,Urbana,Estadual,0.0,55.6,44.4,0.0
2020,Norte,RO,1100106,Guajará-Mirim,Rural,Estadual,0.0,11.1,55.6,33.3
2020,Norte,RO,1100106,Guajará-Mirim,Urbana,Municipal,0.0,30.8,69.2,0.0
2020,Norte,RO,1100106,Guajará-Mirim,Urbana,Privada,0.0,60.0,40.0,0.0
2020,Norte,RO,1100106,Guajará-Mirim,Urbana,Pública,0.0,43.5,56.5,0.0
2020,Norte,RO,1100106,Guajará-Mirim,Rural,Pública,0.0,11.1,55.6,33.3
2020,Norte,RO,1100114,Jaru,Urbana,Estadual,0.0,27.3,72.7,0.0
2020,Norte,RO,1100114,Jaru,Rural,Estadual,0.0,100.0,0.0,0.0
2020,Norte,RO,1100114,Jaru,Urbana,Municipal,14.3,78.6,7.1,0.0
2020,Norte,RO,1100114,Jaru,Rural,Municipal,0.0,33.3,66.7,0.0
2020,Norte,RO,1100114,Jaru,Urbana,Privada,16.7,50.0,33.3,0.0
2020,Norte,RO,1100114,Jaru,Rural,Privada,0.0,100.0,0.0,0.0
2020,Norte,RO,1100114,Jaru,Urbana,Pública,8.0,56.0,36.0,0.0
2020,Norte,RO,1100114,Jaru,Rural,Pública,0.0,50.0,50.0,0.0
2020,Norte,RO,1100122,Ji-Paraná,Urbana,Federal,0.0,100.0,0.0,0.0
2020,Norte,RO,1100122,Ji-Paraná,Urbana,Estadual,0.0,35.5,61.3,3.2
2020,Norte,RO,1100122,Ji-Paraná,Rural,Estadual,10.0,10.0,40.0,40.0
2020,Norte,RO,1100122,Ji-Paraná,Urbana,Municipal,0.0,47.4,47.4,5.2
2020,Norte,RO,1100122,Ji-Paraná,Rural,Municipal,0.0,22.2,33.3,44.5
2020,Norte,RO,1100122,Ji-Paraná,Urbana,Privada,0.0,35.7,64.3,0.0
2020,Norte,RO,1100122,Ji-Paraná,Rural,Privada,0.0,0.0,100.0,0.0
2020,Norte,RO,1100122,Ji-Paraná,Urbana,Pública,0.0,41.2,54.9,3.9
2020,Norte,RO,1100122,Ji-Paraná,Rural,Pública,5.3,15.8,36.8,42.1
2020,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Estadual,0.0,40.0,60.0,0.0
2020,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Municipal,0.0,50.0,50.0,0.0
2020,Norte,RO,1100130,Machadinho D'Oeste,Rural,Municipal,46.2,30.8,0.0,23.0
2020,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Privada,0.0,0.0,100.0,0.0
2020,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Pública,0.0,46.2,53.8,0.0
2020,Norte,RO,1100130,Machadinho D'Oeste,Rural,Pública,46.2,30.8,0.0,23.0
2020,Norte,RO,1100148,Nova Brasilândia D'Oeste,Urbana,Estadual,0.0,25.0,75.0,0.0
2020,Norte,RO,1100148,Nova Brasilândia D'Oeste,Urbana,Municipal,0.0,0.0,100.0,0.0
2020,Norte,RO,1100148,Nova Brasilândia D'Oeste,Rural,Municipal,0.0,0.0,33.3,66.7
2020,Norte,RO,1100148,Nova Brasilândia D'Oeste,Urbana,Privada,100.0,0.0,0.0,0.0
2020,Norte,RO,1100148,Nova Brasilândia D'Oeste,Urbana,Pública,0.0,14.3,85.7,0.0
2020,Norte,RO,1100148,Nova Brasilândia D'Oeste,Rural,Pública,0.0,0.0,33.3,66.7
2020,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Estadual,0.0,42.9,57.1,0.0
2020,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Municipal,0.0,8.3,83.3,8.4
2020,Norte,RO,1100155,Ouro Preto do Oeste,Rural,Municipal,0.0,66.7,33.3,0.0
2020,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Privada,0.0,66.7,33.3,0.0
2020,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Pública,0.0,21.1,73.7,5.2
2020,Norte,RO,1100155,Ouro Preto do Oeste,Rural,Pública,0.0,66.7,33.3,0.0
2020,Norte,RO,1100189,Pimenta Bueno,Urbana,Estadual,0.0,42.9,57.1,0.0
2020,Norte,RO,1100189,Pimenta Bueno,Rural,Estadual,0.0,0.0,100.0,0.0
2020,Norte,RO,1100189,Pimenta Bueno,Urbana,Municipal,0.0,0.0,71.4,28.6
2020,Norte,RO,1100189,Pimenta Bueno,Rural,Municipal,0.0,0.0,33.3,66.7
2020,Norte,RO,1100189,Pimenta Bueno,Urbana,Privada,66.7,0.0,33.3,0.0
2020,Norte,RO,1100189,Pimenta Bueno,Urbana,Pública,0.0,21.4,64.3,14.3
2020,Norte,RO,1100189,Pimenta Bueno,Rural,Pública,0.0,0.0,42.9,57.1
2020,Norte,RO,1100205,Porto Velho,Urbana,Federal,0.0,50.0,50.0,0.0
2020,Norte,RO,1100205,Porto Velho,Urbana,Estadual,1.6,15.9,79.4,3.1
