Fornecedor;idproduto;Nome do produto;Tipo de produto;Código de barras;Código interno;Agrupador;Imagem;Disponível;Url
Armazem Santa Maria;4a0c81d0-32a9-411b-8459-1f39426ef31a;CONJ BRINOX GRILL TAPIOQ FRIG PRETO;Simples;7896502876259;7896502876259|35847;35847;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/4a0c81d0-32a9-411b-8459-1f39426ef31a+fc2006d3-2ee7-4467-82b6-1fad06183bc7
Armazem Santa Maria;7809ea32-6992-4c04-8f96-605f84d0d501;GARFO DE MESA BRINOX 5108;Simples;;7896502883554|12228;12228;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/7809ea32-6992-4c04-8f96-605f84d0d501+6c7c44f7-f910-44fd-84ed-b431486a890f
Armazem Santa Maria;9fe791e6-03e6-4351-98e3-d78814e35a5e;COLHER BRINOX ITAPARICA VERM 3 PÇ;Simples;;7896502896262|12205;12205;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/9fe791e6-03e6-4351-98e3-d78814e35a5e+8ae24d13-c4f9-4973-9cd1-4316da56700e
Armazem Santa Maria;252d6ae0-efc0-4f07-bba3-798ef60e3320;FORMA BRINOX 6 DIVISOES JUMBO 3CM;Simples;7896502896837;7896502896837|30679;30679;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/252d6ae0-efc0-4f07-bba3-798ef60e3320+05a61eab-632c-4760-a7c9-614045c0320e
Armazem Santa Maria;737a86db-d591-484f-b09f-a8bf9d49ffce;SABONETE LIQ GRANADO BEBE GLIC ER 250ML;Simples;;7896512911940|2813;2813;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/737a86db-d591-484f-b09f-a8bf9d49ffce+0e0c55f7-cc04-4264-b4b2-13b558b80589
Armazem Santa Maria;e274d878-8d37-409a-93ed-d311d0ed5b14;ENERGETICO VULCANO PET 2L;Simples;17896520025971;7896520025974|18154;18154;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/e274d878-8d37-409a-93ed-d311d0ed5b14+80fc4fd4-5229-40b6-a513-dce9907abf46
Armazem Santa Maria;a11b5973-c6de-47cf-93d8-4917f0cea126;TONALIZANTE CAPICILIN VERM/CEREJA 100G;Simples;7896522035278;7896522035278|15870;15870;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/a11b5973-c6de-47cf-93d8-4917f0cea126+7f7b0ec4-c8a3-43aa-82ae-9bfe68c587d9
Armazem Santa Maria;431a9fb9-24d6-40d4-96c7-20d15145ee35;AMPOLA CAPICILIN  BOMBA NUTRITIVA 20ML;Simples;7896522035469;7896522035469|19347;19347;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/431a9fb9-24d6-40d4-96c7-20d15145ee35+59119473-e6a2-4c3f-82dd-bd3ca80af1a1
Armazem Santa Maria;99d00d73-770e-4945-b7eb-7c6b0b81db04;CREME PENT CAPICILIN MIXZENA 300ML;Simples;7896522035698;7896522035698|28492;28492;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/99d00d73-770e-4945-b7eb-7c6b0b81db04+7e785156-3ee6-40ec-ab45-8d63a73dfd07
Armazem Santa Maria;98b5f669-9d8f-4409-a4e0-991235c098d8;CONDIC CAPICILIN MIXZENA LEITE 100ML;Simples;7896522035704;7896522035704|30240;30240;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/98b5f669-9d8f-4409-a4e0-991235c098d8+ce57892d-6dd7-4944-8d16-92ce79704fae
Armazem Santa Maria;c5f1abbc-56fb-49da-b4be-b61488fa6ae7;AMPOLA CAPICILIN SUP BOMB NUTRICAO 100ML;Simples;7896522035711;7896522035711|35345;35345;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/c5f1abbc-56fb-49da-b4be-b61488fa6ae7+fb6130d6-fd3e-43c4-afae-fe2f41780c9b
Armazem Santa Maria;27c4b85f-b122-49da-be4b-a292d4de00c5;AMPOLA CAPICILIN LEITE INST DESMAI 100ML;Simples;7896522035902;7896522035902|29476;29476;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/27c4b85f-b122-49da-be4b-a292d4de00c5+faa6e4ee-c6cf-4dae-9245-f25d01f0151a
Armazem Santa Maria;3e9a0f7b-90e8-47d4-ab75-ab149d9f8f34;AMPOLA CAPICILIN MAX HIDRATACAO 100ML;Simples;7896522036008;7896522036008|29475;29475;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/3e9a0f7b-90e8-47d4-ab75-ab149d9f8f34+6b6f0e8a-a754-4952-a417-c22b30d8dbad
Armazem Santa Maria;a5cb2c65-6eda-4f6a-ba05-e44c06c15185;CONDIC CAPICILIN LOVE CACHOS 300ML;Simples;7896522037432;7896522037432|37753;37753;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/a5cb2c65-6eda-4f6a-ba05-e44c06c15185+1473c9e6-d348-4155-9627-6a12f6f9e7b8
Armazem Santa Maria;a13e6818-6706-4556-bb37-27605db5ed6f;FORMINHA JUNCO P/DOCES VERMELHA LAMI;Simples;7896523125503;7896523125503|10513;10513;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/a13e6818-6706-4556-bb37-27605db5ed6f+67f3bd42-a2e9-47db-b339-0d39ff860dd5
Armazem Santa Maria;434897fd-a1c5-42c1-beee-be861298298d;CONVITE JUNCO ESPECIAL BABY ROSA;Simples;7896523128351;7896523128351|10472;10472;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/434897fd-a1c5-42c1-beee-be861298298d+adc7d192-f0e0-46e3-807b-06a470b6c227
Armazem Santa Maria;434897fd-a1c5-42c1-beee-be861298298d;CONVITE JUNCO ESPECIAL BABY ROSA;Simples;7896523128351;7896523128375|10472;10472;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/434897fd-a1c5-42c1-beee-be861298298d+a4f8fb64-9e75-49fe-b9fd-195209526907
Armazem Santa Maria;27176d7d-6545-46bf-98b7-7aec66315f43;GARFO MESA MONFERRATO LARANJA INOX 3PC;Simples;7896531017388;7896531017388|35226;35226;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/27176d7d-6545-46bf-98b7-7aec66315f43+8428aef4-0eae-4878-bb44-a45d2dd2575c
Armazem Santa Maria;9588b6e6-816f-40b6-a7f9-c4929955e793;BOLA DE FUTEBOL VERDE/AMARELO UN;Simples;7896557301157;7896557301157|37992;37992;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/9588b6e6-816f-40b6-a7f9-c4929955e793+30e8e8b0-788e-4995-a31d-5dcdcb78a107
Armazem Santa Maria;1ec99f66-8930-4aea-b6c0-12ee4593c09a;ALCOOL GEL SOL 46 INPM NEUT CRISTA 500G;Simples;7896581800053;7896581800053|27455;27455;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/1ec99f66-8930-4aea-b6c0-12ee4593c09a+60f9cf6a-b08d-4d0e-80f6-9d4f60d99681
Armazem Santa Maria;e5932182-9652-4728-b6b5-a425aa5d4fde;ALCOOL GEL SOL 46 INPM LAVANDA 500G;Simples;7896581801340;7896581801340|27458;27458;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/e5932182-9652-4728-b6b5-a425aa5d4fde+f4b17713-93e7-41e6-b1d2-762c5c89a8f0
Armazem Santa Maria;7adc6a9f-b5e4-4fd9-b5a6-ea849e0118f0;ALCOOL GEL SOL 46 INPM EUCALIPTO 500G;Simples;7896581801418;7896581801418|27456;27456;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/7adc6a9f-b5e4-4fd9-b5a6-ea849e0118f0+4eb3bacf-e643-43c9-8f29-5eb78d4ff158
Armazem Santa Maria;7e0f4597-c186-4e73-a673-ba2e326ee124;SUCO UVA MIORANZA INTEGRAL 1,5L;Simples;7896589102272;7896589102272|36694;36694;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/7e0f4597-c186-4e73-a673-ba2e326ee124+d3a70448-8d3e-4c17-9199-6c18450d08ba
Armazem Santa Maria;974d3203-fdd1-4de5-ae6c-3c3c8beae700;FARINHA TRIGO MIRELLA S/FERM 1KG;Simples;7896593400227;7896593400227|2549;2549;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/974d3203-fdd1-4de5-ae6c-3c3c8beae700+6d4225fb-717f-4316-adbd-d97ee71abc7d
Armazem Santa Maria;141a87b7-07d1-4c1d-b918-926b2bf37a81;MASSA SOPA RICOSA BOCA DE LEAO 500G;Simples;7896593400753;7896593400753|3488;3488;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/141a87b7-07d1-4c1d-b918-926b2bf37a81+1dcfb32f-e6ac-44db-8411-31bf92b49e81
Armazem Santa Maria;73e9d883-d793-4fd5-bbef-f618bfbb6cc2;MASSA SOPA RICOSA CONCHA 200G;Simples;7896593401262;7896593401262|3490;3490;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/73e9d883-d793-4fd5-bbef-f618bfbb6cc2+0f33ebae-06fe-42bb-8546-1c60d483cb33
Armazem Santa Maria;44c456d7-8306-4a9e-a9fb-c4a80768b3de;MASSA SOPA RICOSA PARAFUSO 200G;Simples;7896593401279;7896593401279|3493;3493;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/44c456d7-8306-4a9e-a9fb-c4a80768b3de+caed1691-ac18-472a-8fc5-7eb736b98a83
Armazem Santa Maria;0d5cd90e-2bcc-415c-81bd-a1fdd1e31bd6;MASSA SOPA RICOSA PENNE 500G;Simples;7896593402986;7896593402986|3494;3494;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/0d5cd90e-2bcc-415c-81bd-a1fdd1e31bd6+008ca342-ea64-45d1-963c-9b12814fef76
